system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,ID,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,Target,WVP,.geo
0000000000000000001c_0,0.0207,0.0712,0.3366,0.2599,0.0817,0.1354,0.1498,0.21,0.3108,0.3412,0.3382,0.3485,0.3446,ID_6D13XY27TWND,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0085,0.0139,0.0154,0,0.1649,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.66790320312302,34.0554468313205]}"
0000000000000000001e_0,0.0217,0.0503,0.2491,0.1642,0.0812,0.1174,0.145,0.1838,0.2658,0.2936,0.3326,0.3314,0.3122,ID_S4FZH0QBZOPN,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0082,0.0121,0.015,0,0.1379,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.29158812793303,32.310110065804686]}"
00000000000000000020_0,0.0499,0.0465,0.2122,0.1251,0.0572,0.1126,0.105,0.1507,0.2385,0.2611,0.2547,0.2845,0.2691,ID_D055INURBWBL,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0058,0.0115,0.0108,0,0.3281,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.20061000695237,14.159380255584516]}"
00000000000000000021_0,0.0346,0.02225,0.10035,0.0615,0.03045,0.06635,0.0502,0.10715,0.1733,0.1862,0.1865,0.1991,0.19955,ID_KSCSPRYSEH64,1.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0032,0.00685,0.0053,0,0.31105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.32583515755863,14.408483083870859]}"
00000000000000000023_0,0.0197,0.14175,0.40795,0.37885,0.1807,0.2371,0.277,0.3035,0.3065,0.31575,0.3142,0.32295,0.3129,ID_3I9MVT5RFLMD,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0186,0.02425,0.02545,0,0.19945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.32223148179382,34.26071187374181]}"
00000000000000000024_0,0.05,0.2025,0.0321,0.0269,0.2512,0.3234,0.3444,0.3946,0.3395,0.3467,0.3218,0.3123,0.3015,ID_FAXB9O0ADKUU,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,0.0255,0.0255,0.0255,0,0.5288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.38440531408322,14.194863709307237]}"
00000000000000000025_0,0.0225,0.0495,0.19145,0.12475,0.0563,0.0923,0.08125,0.1574,0.27675,0.3201,0.3374,0.35415,0.37995,ID_RJD8BACKOCFA,5.5E-4,0.0,0.0,0.0,0.0,4.0E-4,0.00585,0.00945,0.00845,0,0.1363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.23903668381204,32.08580073936004]}"
00000000000000000027_0,0.0499,0.0573,0.2145,0.1656,0.058,0.0923,0.1058,0.1405,0.1775,0.206,0.242,0.2203,0.2104,ID_S9PPVUBPVU3G,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0059,0.0094,0.011,0,0.2734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.15758070484304,14.360423216170464]}"
00000000000000000029_0,0.02,0.1302,0.2594,0.25495,0.1243,0.1458,0.1733,0.2068,0.2008,0.21195,0.198,0.21165,0.25805,ID_WCVQ3NFKNRJ2,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0123,0.0148,0.01765,0,0.11615,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.36444149747512,32.45518798418998]}"
0000000000000000002a_0,0.05,0.1587,0.0403,0.0359,0.2068,0.2756,0.3194,0.3693,0.317,0.3275,0.3108,0.2969,0.2806,ID_PDPOUEXBHPY8,0.0035,0.0,0.0,0.0,0.0,5.0E-4,0.0211,0.0255,0.0255,0,0.4829,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.257293701380306,14.323322794936328]}"
0000000000000000002e_0,0.0346,0.0961,0.25565,0.20935,0.1083,0.1426,0.1747,0.19265,0.20695,0.21555,0.2323,0.2378,0.2595,ID_L2U7DUSPD3J0,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01115,0.01435,0.01765,0,0.2675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.1430279972403,14.449625923883533]}"
0000000000000000002f_0,0.0213,0.06365,0.2804,0.2046,0.08105,0.1228,0.1458,0.1928,0.26975,0.3028,0.3267,0.33155,0.331,ID_3PR0OWONVC1U,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.00835,0.01255,0.0147,0,0.12935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.22376532398201,32.12514694880447]}"
00000000000000000034_0,0.0221,0.0804,0.3044,0.2631,0.144,0.1736,0.1938,0.202,0.2363,0.2643,0.2722,0.2801,0.2796,ID_0SF4RCN504DQ,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0143,0.0176,0.0196,0,0.1958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.31630260091863,34.24445236709925]}"
00000000000000000039_0,0.0198,0.1184,0.3954,0.35065,0.1654,0.2155,0.2454,0.28815,0.29935,0.31445,0.3364,0.33595,0.316,ID_9UBU78S4KY2A,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0169,0.0218,0.0251,0,0.20585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.33507739035673,34.25900507470198]}"
0000000000000000003b_0,0.0224,0.0873,0.2511,0.1759,0.0491,0.0864,0.0739,0.1386,0.2756,0.3412,0.3422,0.3478,0.3095,ID_BZX6I8Y6G1T9,0.0,0.0,0.0,0.0,0.0,4.0E-4,0.005,0.009,0.0077,0,0.2179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.75315332358596,34.09146927421369]}"
00000000000000000040_0,0.0499,0.0542,0.2259,0.1747,0.0408,0.0725,0.0944,0.1596,0.1891,0.214,0.2188,0.2308,0.2274,ID_3Q700UD8YAPM,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0043,0.0073,0.0095,0,0.3389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.384854471725276,14.206182481887142]}"
00000000000000000044_0,0.0192,0.0781,0.2756,0.2296,0.073,0.107,0.1322,0.1829,0.248,0.2733,0.259,0.2832,0.2759,ID_L0RJI5FIQEQ8,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0076,0.0109,0.0135,0,0.3197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.48034538642718,14.52957598417017]}"
00000000000000000045_0,0.0222,0.0367,0.1572,0.1152,0.0622,0.0907,0.0906,0.1139,0.203,0.2284,0.2394,0.2401,0.2603,ID_B3ORMFDAYD1U,1.0E-4,0.0,0.0,0.0,0.0,5.0E-4,0.0064,0.0093,0.0093,0,0.1267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.42956935557379,32.10232974058784]}"
00000000000000000048_0,0.0213,0.1187,0.447,0.3935,0.1611,0.2274,0.3086,0.3379,0.343,0.35785,0.3749,0.37165,0.3799,ID_GXCBEEGED0L5,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0165,0.0231,0.0255,0,0.12925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.19834300144142,32.061636058217225]}"
0000000000000000004c_0,0.02,0.1005,0.3704,0.3027,0.133,0.1876,0.2584,0.2992,0.3047,0.3226,0.3182,0.3283,0.3128,ID_YNDJOQF1N0VW,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0135,0.0191,0.0255,0,0.1319,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.1628595477187,32.41512312251825]}"
0000000000000000004f_0,0.0213,0.1427,0.4201,0.3804,0.2002,0.2486,0.3075,0.3216,0.3504,0.376,0.387,0.3797,0.3801,ID_07TOMJZX2GTF,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0206,0.0254,0.0255,0,0.1995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.6625133114183,34.08940314906022]}"
00000000000000000050_0,0.0499,0.0346,0.1308,0.0857,0.0416,0.0744,0.0802,0.1299,0.1643,0.1901,0.1731,0.2078,0.227,ID_RNBJNOSWS1OF,6.0E-4,0.0,0.0,0.0,0.0,7.0E-4,0.0042,0.0076,0.0082,0,0.3389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.235105313862555,14.186509377164924]}"
00000000000000000052_0,0.0222,0.0372,0.128,0.0847,0.0385,0.0571,0.0608,0.0897,0.1764,0.2049,0.2092,0.2185,0.2362,ID_D7LUTUIQZ7FS,2.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.004,0.0058,0.0063,0,0.1218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.33470726157077,32.24920428954138]}"
00000000000000000053_0,0.0346,0.09885,0.3053,0.262,0.1121,0.1553,0.1865,0.21865,0.2395,0.2525,0.24085,0.2649,0.26175,ID_7JQ221APF44L,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0114,0.0159,0.0191,0,0.27895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.126858322126154,14.460226044236144]}"
00000000000000000056_0,0.0222,0.03775,0.15245,0.08995,0.04805,0.068,0.0662,0.1032,0.2064,0.24345,0.2532,0.26375,0.26755,ID_JFOA025TW7YZ,2.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.005,0.0071,0.0068,0,0.1345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.177412255321435,32.26106205129176]}"
00000000000000000057_0,0.0192,0.0629,0.357,0.2787,0.0615,0.0963,0.1296,0.2114,0.2813,0.3104,0.2806,0.3207,0.3216,ID_BRUG2R3A8KMO,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0064,0.0097,0.0131,0,0.299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.502893100058586,14.56083735605753]}"
00000000000000000058_0,0.0499,0.0173,0.1236,0.0737,0.0343,0.0863,0.0551,0.1327,0.2196,0.2352,0.2188,0.2393,0.2295,ID_NZFWCYVAX8W1,1.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0033,0.0088,0.0055,0,0.3567,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.39635290736201,14.170788859692834]}"
0000000000000000005b_0,0.03455,0.05955,0.21325,0.14275,0.0287,0.0699,0.0674,0.12495,0.2712,0.31735,0.3192,0.33835,0.32005,ID_4EBOFVEUNT0P,0.0,0.0,0.0,0.0,0.0,4.0E-4,0.00295,0.00715,0.0069,0,0.32145,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.535052787230065,14.395727006836362]}"
0000000000000000005c_0,0.0222,0.0427,0.1694,0.1091,0.0364,0.063,0.0522,0.1052,0.2041,0.2395,0.2526,0.2509,0.2784,ID_IKBRZSO6S1P2,2.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0037,0.0066,0.0056,0,0.1459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.4033385492775,32.13754369972532]}"
0000000000000000005d_0,0.01955,0.1445,0.4107,0.37435,0.1845,0.2417,0.2894,0.31125,0.31265,0.3247,0.3256,0.328,0.3168,ID_B9AM66XND0FN,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01885,0.0245,0.02535,0,0.1984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.30938557323091,34.2508304056165]}"
00000000000000000060_0,0.0198,0.10145,0.2613,0.2301,0.125,0.1641,0.1753,0.20065,0.20565,0.21625,0.2279,0.2202,0.23535,ID_GDW55JLGOSR8,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01285,0.01675,0.0179,0,0.2035,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.32878918336789,34.25065074255967]}"
00000000000000000062_0,0.0204,0.08355,0.3033,0.26885,0.1646,0.2066,0.2398,0.2139,0.2467,0.26795,0.2979,0.27325,0.2899,ID_W5HP021GO32T,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01675,0.02105,0.02465,0,0.2207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.39167125325626,34.29008678353252]}"
00000000000000000063_0,0.0222,0.0294,0.1196,0.0684,0.0403,0.0615,0.0484,0.0911,0.197,0.2537,0.242,0.2656,0.2414,ID_TGWAMP5RB1MT,1.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.004,0.0063,0.005,0,0.1604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.41591496325517,32.1253266118613]}"
00000000000000000068_0,0.05,0.0861,0.157,0.0972,0.1001,0.1432,0.1602,0.186,0.222,0.2409,0.2475,0.2569,0.2725,ID_0DAEEQV9I7ED,0.0017,0.0,0.0,0.0,0.0,7.0E-4,0.01,0.0147,0.0163,0,0.3389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.3797340746058,14.194504383193589]}"
0000000000000000006a_0,0.02415,0.1418,0.43795,0.40795,0.1875,0.2513,0.2951,0.3191,0.3234,0.3404,0.3337,0.3392,0.3351,ID_7RLPAEJ707V4,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0191,0.02535,0.02545,0,0.17225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.69799676514101,34.08491157263962]}"
00000000000000000071_0,0.0499,0.0155,0.2014,0.1441,0.024,0.0676,0.0757,0.1382,0.2395,0.2731,0.3006,0.3036,0.3003,ID_0IIXJN8964FD,1.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0027,0.0069,0.0077,0,0.3248,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.53927486906542,14.317214251004316]}"
00000000000000000076_0,0.02095,0.132,0.39835,0.37865,0.1802,0.2383,0.2781,0.3005,0.29875,0.3207,0.3076,0.3197,0.31125,ID_VX1IWA5TYFM0,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0183,0.0243,0.0255,0,0.2417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.76608906367728,34.16602944279561]}"
00000000000000000077_0,0.02095,0.12255,0.38165,0.36585,0.1759,0.2291,0.2687,0.27995,0.27995,0.29105,0.2964,0.2951,0.2893,ID_FPN17DMBCL95,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.018,0.0233,0.0255,0,0.2408,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.7647415907511,34.166388768909265]}"
0000000000000000007a_0,0.0346,0.0397,0.17745,0.11985,0.0225,0.05905,0.0547,0.1192,0.26345,0.31305,0.3241,0.3383,0.3043,ID_1KDYP3YGV9JA,2.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.00245,0.00605,0.0056,0,0.32785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.533076493605,14.405967801075324]}"
0000000000000000007b_0,0.0204,0.0678,0.23905,0.16835,0.0555,0.087,0.0791,0.1435,0.2394,0.2723,0.3032,0.2957,0.298,ID_398VW7G6ZW53,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0055,0.00905,0.0082,0,0.21685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.39310855771085,34.28882914213475]}"
0000000000000000007c_0,0.0213,0.0741,0.32135,0.265,0.09825,0.1439,0.1767,0.2158,0.2641,0.28875,0.3129,0.3121,0.3133,ID_2EJ4VD5HV22D,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01,0.0147,0.0179,0,0.1281,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.21855509533411,32.119757057099754]}"
0000000000000000007f_0,0.0499,0.0529,0.1996,0.1515,0.044,0.0811,0.0874,0.1443,0.1679,0.1812,0.2012,0.2021,0.2277,ID_3ABTBF5KNVHU,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0045,0.0084,0.0088,0,0.3229,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.42743461619254,14.195133203892473]}"
00000000000000000080_0,0.02085,0.11595,0.36855,0.3494,0.1504,0.2034,0.24185,0.26525,0.27195,0.285,0.2788,0.2892,0.2871,ID_N6N5ABKXPJFV,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01545,0.0208,0.0247,0,0.24095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.7564770901372,34.1583937628806]}"
00000000000000000081_0,0.0499,0.043,0.239,0.1819,0.036,0.0739,0.083,0.132,0.2044,0.2367,0.2368,0.2618,0.2499,ID_O9RJHJWSIANE,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0037,0.0076,0.0085,0,0.3144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.40946831051016,14.303919184799346]}"
00000000000000000082_0,0.0199,0.0703,0.3078,0.23315,0.0799,0.1137,0.1653,0.20555,0.21005,0.2262,0.2167,0.2407,0.2617,ID_451B8S6TAH0D,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0082,0.0116,0.0169,0,0.1046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.14022200255889,32.41898587823997]}"
00000000000000000083_0,0.0499,0.0123,0.1946,0.1151,0.0166,0.0578,0.0495,0.1236,0.2812,0.3245,0.3255,0.3393,0.2757,ID_5GS054Q9NS64,0.0,0.0,0.0,0.0,0.0,4.0E-4,0.0016,0.0059,0.0051,0,0.3434,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.539095206008604,14.314070147509897]}"
00000000000000000084_0,0.0346,0.07495,0.2483,0.21105,0.05905,0.1116,0.1312,0.19355,0.25005,0.26725,0.2541,0.27265,0.2905,ID_UOVFL1H4J6TD,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.00585,0.0115,0.01345,0,0.3203,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.54376644548602,14.406327127188971]}"
00000000000000000086_0,0.0192,0.079,0.32,0.2633,0.0841,0.1142,0.1504,0.1961,0.2098,0.2338,0.2254,0.2575,0.2737,ID_UW0K47YIMDHZ,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0086,0.0118,0.0153,0,0.3092,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.565326012304894,14.478102518390122]}"
0000000000000000008a_0,0.0222,0.1127,0.3445,0.2881,0.1382,0.187,0.2115,0.241,0.2616,0.2763,0.2698,0.2807,0.315,ID_OFGG0CNP892R,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0141,0.0191,0.0218,0,0.1714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.69323569413518,34.11787974356681]}"
0000000000000000008f_0,0.0499,0.0045,0.0883,0.0528,0.0192,0.0636,0.054,0.1131,0.1686,0.1947,0.1946,0.2133,0.18,ID_X74AO7WWAQTL,2.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0022,0.0065,0.0057,0,0.3389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.36778648132701,14.164231158118762]}"
00000000000000000090_0,0.0213,0.1249,0.404,0.3679,0.149,0.1982,0.2639,0.2921,0.3044,0.3196,0.3296,0.3345,0.3405,ID_POQN1QKYTQOG,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0151,0.0203,0.0255,0,0.1315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.30515268872323,32.331939127208784]}"
00000000000000000093_0,0.0192,0.0852,0.2614,0.2124,0.0728,0.1122,0.1204,0.1917,0.2623,0.288,0.2942,0.3092,0.2824,ID_WO0LYKZK5Y7O,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0073,0.0114,0.0123,0,0.3124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.48339965839319,14.489870448612088]}"
00000000000000000094_0,0.0216,0.0314,0.131,0.0859,0.0451,0.0667,0.066,0.0992,0.1762,0.1992,0.2042,0.224,0.2179,ID_JYGY5MDK8EG0,2.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0044,0.0068,0.0069,0,0.1407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.33892934340613,32.25719929557005]}"
00000000000000000095_0,0.0499,0.0585,0.204,0.14,0.048,0.0918,0.0939,0.1568,0.2105,0.234,0.2316,0.2514,0.2477,ID_9K65GHO70ORZ,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0046,0.0093,0.0096,0,0.3385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.36428305171894,14.199265454199422]}"
00000000000000000096_0,0.02005,0.07535,0.26945,0.2091,0.1344,0.1656,0.1779,0.19375,0.24795,0.27815,0.27345,0.2884,0.29035,ID_DL4IBT6O05JW,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01395,0.0169,0.018,0,0.2061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.36202684888032,34.261250862912284]}"
00000000000000000097_0,0.0206,0.15915,0.37985,0.35545,0.1972,0.2465,0.2814,0.3049,0.2991,0.3126,0.3028,0.30895,0.31205,ID_KQ02QVG2WMZ2,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.02005,0.02505,0.0255,0,0.2345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.41547660828543,34.29305122397012]}"
00000000000000000099_0,0.02235,0.05105,0.2341,0.1475,0.0663,0.09875,0.1223,0.15925,0.21815,0.24525,0.2738,0.27855,0.30405,ID_ITXKKEUFF85L,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0069,0.01015,0.0125,0,0.11745,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.236072243374444,32.08993298966699]}"
0000000000000000009a_0,0.0198,0.12535,0.3929,0.36145,0.1704,0.2248,0.2608,0.2888,0.28995,0.31005,0.3062,0.3198,0.3199,ID_WEV30JNH2RPI,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01745,0.02295,0.0254,0,0.208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.32762137349854,34.26385597723623]}"
0000000000000000009b_0,0.0214,0.1152,0.3214,0.2641,0.1368,0.1836,0.234,0.1882,0.2734,0.2981,0.3247,0.3212,0.3085,ID_7GRZNHKE7IJF,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0141,0.0187,0.0237,0,0.1907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.70212901544797,34.078623365650785]}"
